source_status,pulled_at_local,delivery_window_since,delivery_window_until,account_alias,account_name,customer_id,object_level,object_id,current_name,parent_campaign_id,parent_campaign_name,parent_ad_group_id,parent_ad_group_name,configured_status,campaign_status,channel_type,channel_sub_type,bidding_strategy_type,ad_group_type,ad_type,final_urls,spend,impressions,clicks,conversions,all_conversions,proposed_gads_name,proposed_key,naming_status,notes
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,15778154097,oakville | lsm | kw,15778154097,oakville | lsm | kw,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,,,,1993.27,12435,735,66.424018,282.848743,CEFA | LSM | Enrollment | Oakville | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-oakville-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23250453358,CEFA | BC | CORP | PMAX | LEADS | MOF | Enrollment,23250453358,CEFA | BC | CORP | PMAX | LEADS | MOF | Enrollment,,,PAUSED,PAUSED,PERFORMANCE_MAX,,MAXIMIZE_CONVERSIONS,,,,1557.07,140298,2300,150.558095,807.049536,CEFA | CORP | Enrollment | British Columbia | GOOGLE | PMAX | LEADS | MOF | Enrollment | 202604 | 001,cefa-corp-enrollment-british-columbia-google-pmax-leads-mof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22450573429,chilliwack | LSM | kws,22450573429,chilliwack | LSM | kws,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,1475.09,4307,208,4.977247,57.960232,CEFA | LSM | Enrollment | Chilliwack | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-chilliwack-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23547539661,Kelowna Spall | LSM | Conversions,23547539661,Kelowna Spall | LSM | Conversions,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,1383.24,6192,282,21.979897,90.762859,CEFA | LSM | Enrollment | Kelowna Spall | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-kelowna-spall-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23547477117,Surrey Panorama | LSM | Conversion,23547477117,Surrey Panorama | LSM | Conversion,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,1260.86,7687,433,31.708039,147.772392,CEFA | LSM | Enrollment | South Surrey - Panorama | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-south-surrey-panorama-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,21319600288,markham | LSM | kws,21319600288,markham | LSM | kws,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,1146.20,9981,489,36.476933,161.01548,CEFA | LSM | Enrollment | Markham | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-markham-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23552721065,CEFA | ONTARIO | CORP | PMAX | LEADS | MOF | Enrollment |,23552721065,CEFA | ONTARIO | CORP | PMAX | LEADS | MOF | Enrollment |,,,PAUSED,PAUSED,PERFORMANCE_MAX,,MAXIMIZE_CONVERSIONS,,,,1064.90,47710,1254,63.894617,344.58504,CEFA | CORP | Enrollment | Ontario | GOOGLE | PMAX | LEADS | MOF | Enrollment | 202604 | 001,cefa-corp-enrollment-ontario-google-pmax-leads-mof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23552724362,CEFA | Alberta | CORP | PMAX | LEADS | MOF | Enrollment |,23552724362,CEFA | Alberta | CORP | PMAX | LEADS | MOF | Enrollment |,,,PAUSED,PAUSED,PERFORMANCE_MAX,,MAXIMIZE_CONVERSIONS,,,,945.12,58712,1279,128.995745,414.250752,CEFA | CORP | Enrollment | Alberta | GOOGLE | PMAX | LEADS | MOF | Enrollment | 202604 | 001,cefa-corp-enrollment-alberta-google-pmax-leads-mof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,17290399592,burlington | lsm | kw,17290399592,burlington | lsm | kw,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,937.72,7725,512,41.928509,227.513135,CEFA | LSM | Enrollment | Burlington | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-burlington-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22555521837,beltline | LSM | KW,22555521837,beltline | LSM | KW,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,714.85,5278,236,20.936363,106.879655,CEFA | LSM | Enrollment | Calgary Beltline | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-calgary-beltline-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23732999189,campbell heights | LSM | Keywords,23732999189,campbell heights | LSM | Keywords,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,688.76,2206,73,2,19,CEFA | LSM | Enrollment | Campbell Heights | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-campbell-heights-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22517347425,meadowvale | LSM | kws,22517347425,meadowvale | LSM | kws,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,,,,643.45,6847,291,19.993473,102.610493,CEFA | LSM | Enrollment | Meadowvale | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-meadowvale-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22434718934,white rock | LSM | keywords,22434718934,white rock | LSM | keywords,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,534.05,2311,59,4,28.399136,CEFA | LSM | Enrollment | White Rock | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-white-rock-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22884384921,richmond south | LSM | keywords,22884384921,richmond south | LSM | keywords,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,,,,476.37,4474,225,29.287852,104.845212,CEFA | LSM | Enrollment | Richmond South | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-richmond-south-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22341251503,Park Royal | LSM | KW,22341251503,Park Royal | LSM | KW,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,,,,440.89,3068,170,18.284844,68.703878,CEFA | LSM | Enrollment | Park Royal | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-park-royal-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,22331077914,Lions Gate | LSM | KW,22331077914,Lions Gate | LSM | KW,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,,,,418.79,4154,166,10.648802,66.049768,CEFA | LSM | Enrollment | Lions Gate | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-lions-gate-google-search-leads-bof-enrollment-202604-001,proposed,
