source_status,pulled_at_local,delivery_window_since,delivery_window_until,account_alias,account_name,account_id,object_level,object_id,current_name,parent_campaign_id,parent_campaign_name,parent_adset_id,parent_adset_name,configured_status,effective_status,objective_or_optimization_goal,spend,impressions,clicks,proposed_nc2_name,proposed_key,naming_status,notes
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120219786218160400,CEFA | All Locations | CORP | META | ENGAGEMENT | TOF | Boost,120219786218160400,CEFA | All Locations | CORP | META | ENGAGEMENT | TOF | Boost,,,PAUSED,PAUSED,TRAFFIC,2461.98,338803,12554,CEFA | CORP | Boost | All Locations | META | TRAFFIC | TOF | Boost | 202503 | 001,cefa-corp-boost-all-locations-meta-traffic-tof-boost-202503-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120222886468440400,CEFA | All Locations | CORP | META | AWARENESS | TOF | Evergreen | Established,120222886468440400,CEFA | All Locations | CORP | META | AWARENESS | TOF | Evergreen | Established,,,PAUSED,PAUSED,LEADS,2476.63,232457,1083,CEFA | CORP | Evergreen | All Locations | META | LEADS | TOF | Evergreen | 202504 | 001,cefa-corp-evergreen-all-locations-meta-leads-tof-evergreen-202504-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120228936681010400,CEFA | Chilliwack | LSM | META | LEADS | BOF | Enrollment,120228936681010400,CEFA | Chilliwack | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,1493.44,157790,783,CEFA | LSM | Enrollment | Chilliwack | META | LEADS | BOF | Enrollment | 202506 | 001,cefa-lsm-enrollment-chilliwack-meta-leads-bof-enrollment-202506-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120229052675680400,CEFA | Markham | LSM | META | LEADS | BOF | Enrollment,120229052675680400,CEFA | Markham | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,1499.5,114464,1747,CEFA | LSM | Enrollment | Markham | META | LEADS | BOF | Enrollment | 202506 | 001,cefa-lsm-enrollment-markham-meta-leads-bof-enrollment-202506-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120230564571010400,CEFA | Cornerstone | LSM | META | LEADS | BOF | Enrollment,120230564571010400,CEFA | Cornerstone | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,1499.42,127697,1421,CEFA | LSM | Enrollment | Cornerstone | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-cornerstone-meta-leads-bof-enrollment-202507-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120230793807800400,beltline | LSM | conversions (updated),120230793807800400,beltline | LSM | conversions (updated),,,PAUSED,PAUSED,LEADS,1989.4,158643,1878,CEFA | LSM | Enrollment | Calgary Beltline | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-calgary-beltline-meta-leads-bof-enrollment-202507-001,proposed,current campaign name is non-standard; location/objective inferred
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120230794740250400,CEFA | Meadowvale | LSM | META | LEADS | BOF | Enrollment,120230794740250400,CEFA | Meadowvale | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,1749.54,124056,1179,CEFA | LSM | Enrollment | Meadowvale | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-meadowvale-meta-leads-bof-enrollment-202507-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120231322379890400,CEFA | Oakville | LSM | META | LEADS | BOF | Enrollment,120231322379890400,CEFA | Oakville | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,987.98,77563,882,CEFA | LSM | Enrollment | Oakville | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-oakville-meta-leads-bof-enrollment-202507-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120231322545590400,CEFA | Burlington | LSM | META | LEADS | BOF | Enrollment | 20260201 | 001,120231322545590400,CEFA | Burlington | LSM | META | LEADS | BOF | Enrollment | 20260201 | 001,,,PAUSED,PAUSED,LEADS,1999.51,155275,1956,CEFA | LSM | Enrollment | Burlington | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-burlington-meta-leads-bof-enrollment-202507-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120231838861630400,CEFA | White Rock | LSM | META | LEADS | BOF | Enrollment,120231838861630400,CEFA | White Rock | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,2466.37,249851,1522,CEFA | LSM | Enrollment | White Rock | META | LEADS | BOF | Enrollment | 202507 | 001,cefa-lsm-enrollment-white-rock-meta-leads-bof-enrollment-202507-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120236310703570400,capilano | LSM | conversion | daily,120236310703570400,capilano | LSM | conversion | daily,,,PAUSED,PAUSED,LEADS,2069.66,223572,1001,CEFA | LSM | Enrollment | Capilano | META | LEADS | BOF | Enrollment | 202510 | 001,cefa-lsm-enrollment-capilano-meta-leads-bof-enrollment-202510-001,proposed,current campaign name is non-standard; location/objective inferred
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120236311204240400,lions gate | LSM | conversions | daily,120236311204240400,lions gate | LSM | conversions | daily,,,PAUSED,PAUSED,LEADS,1682.65,175977,1564,CEFA | LSM | Enrollment | Lions Gate | META | LEADS | BOF | Enrollment | 202510 | 001,cefa-lsm-enrollment-lions-gate-meta-leads-bof-enrollment-202510-001,proposed,current campaign name is non-standard; location/objective inferred
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120236379018370400,park royal | LSM | prospecting | daily,120236379018370400,park royal | LSM | prospecting | daily,,,PAUSED,PAUSED,LEADS,1705.04,214173,1099,CEFA | LSM | Enrollment | Park Royal | META | LEADS | BOF | Enrollment | 202510 | 001,cefa-lsm-enrollment-park-royal-meta-leads-bof-enrollment-202510-001,proposed,current campaign name is non-standard; location/objective inferred
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120236442533480400,CEFA | Richmond South | LSM | META | LEADS | BOF | Enrollment,120236442533480400,CEFA | Richmond South | LSM | META | LEADS | BOF | Enrollment,,,PAUSED,PAUSED,LEADS,2364.97,225977,1745,CEFA | LSM | Enrollment | Richmond South | META | LEADS | BOF | Enrollment | 202510 | 001,cefa-lsm-enrollment-richmond-south-meta-leads-bof-enrollment-202510-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120239408164440400,Northland | LSM | OUTCOME_LEADS,120239408164440400,Northland | LSM | OUTCOME_LEADS,,,PAUSED,PAUSED,LEADS,1417.33,108869,1064,CEFA | LSM | Enrollment | Northland | META | LEADS | BOF | Enrollment | 202511 | 001,cefa-lsm-enrollment-northland-meta-leads-bof-enrollment-202511-001,proposed,current campaign name is non-standard; location/objective inferred
